Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
56,Lamar Jackson,27,BAL,QB,10,10,0,0,0,,0,0,,,0.0,0.0,,,91,538,2,28,54.9,33.0,5.9,53.8,9.1,91,5.9,538,2,6,
57,Khalil Shakir,24,BUF,WR,9,5,54,48,529,11.0,2,22,61.1,52.0,5.3,58.8,88.9,9.8,2,4,0,0,0.0,2.0,2.0,0.4,0.2,50,10.7,533,2,0,
58,Amon-Ra St. Brown,25,DET,WR,9,9,67,54,524,9.7,7,35,70.1,35.0,6.0,58.2,80.6,7.8,0,0,0,0,,,,0.0,0.0,54,9.7,524,7,0,
59,Alec Pierce,24,IND,WR,10,10,40,23,516,22.4,4,19,55.0,65.0,2.3,51.6,57.5,12.9,0,0,0,0,,,,0.0,0.0,23,22.4,516,4,0,
60,DeVonta Smith,26,PHI,WR,9,9,56,41,516,12.6,4,25,62.5,46.0,4.6,57.3,73.2,9.2,0,0,0,0,,,,0.0,0.0,41,12.6,516,4,0,
61,Calvin Ridley,30,TEN,WR,9,8,68,32,483,15.1,3,20,39.7,47.0,3.6,53.7,47.1,7.1,4,32,1,2,75.0,10.0,8.0,3.6,0.4,36,14.3,515,4,1,
62,Tyreek Hill,30,MIA,WR,9,9,60,37,462,12.5,2,21,41.7,80.0,4.1,51.3,61.7,7.7,7,47,0,2,57.1,16.0,6.7,5.2,0.8,44,11.6,509,2,0,
63,Stefon Diggs,31,HOU,WR,8,8,64,47,496,10.6,3,31,51.6,49.0,5.9,62.0,73.4,7.8,3,8,1,1,66.7,6.0,2.7,1.0,0.4,50,10.1,504,4,0,
64,Rashod Bateman,25,BAL,WR,10,7,47,31,501,16.2,4,23,55.3,59.0,3.1,50.1,66.0,10.7,0,0,0,0,,,,0.0,0.0,31,16.2,501,4,0,
65,Travis Kelce,35,KAN,TE,9,9,76,60,499,8.3,2,29,64.5,38.0,6.7,55.4,78.9,6.6,1,1,0,0,100.0,1.0,1.0,0.1,0.1,61,8.2,500,2,2,
66,Marvin Harrison Jr.,22,ARI,WR,10,10,60,33,499,15.1,6,24,50.0,60.0,3.3,49.9,55.0,8.3,0,0,0,0,,,,0.0,0.0,33,15.1,499,6,1,
67,Jauan Jennings,27,SFO,WR,7,3,47,32,497,15.5,3,23,57.4,45.0,4.6,71.0,68.1,10.6,0,0,0,0,,,,0.0,0.0,32,15.5,497,3,0,
68,Alexander Mattison,26,LVR,RB,9,5,26,22,195,8.9,1,9,46.2,31.0,2.4,21.7,84.6,7.5,92,301,3,19,37.0,24.0,3.3,33.4,10.2,114,4.4,496,4,0,
69,Josh Downs,23,IND,WR,8,4,66,45,483,10.7,3,25,48.5,69.0,5.6,60.4,68.2,7.3,1,12,0,0,0.0,13.0,12.0,1.5,0.1,46,10.8,495,3,0,
70,Ladd McConkey,23,LAC,WR,9,8,54,37,492,13.3,4,25,55.6,60.0,4.1,54.7,68.5,9.1,0,0,0,0,,,,0.0,0.0,37,13.3,492,4,1,
71,Tyler Allgeier,24,ATL,RB,10,0,8,8,57,7.1,0,2,37.5,13.0,0.8,5.7,100.0,7.1,85,429,2,27,56.5,24.0,5.0,42.9,8.5,93,5.2,486,2,0,
72,Kyle Pitts,24,ATL,TE,10,10,49,34,485,14.3,3,16,46.9,52.0,3.4,48.5,69.4,9.9,0,0,0,0,,,,0.0,0.0,34,14.3,485,3,0,
73,Jayden Daniels,24,WAS,QB,11,11,0,0,0,,0,0,,,0.0,0.0,,,92,482,4,30,54.3,46.0,5.2,43.8,8.4,92,5.2,482,4,3,
74,Darius Slayton,27,NYG,WR,9,7,50,32,469,14.7,1,25,60.0,43.0,3.6,52.1,64.0,9.4,1,11,0,1,100.0,11.0,11.0,1.2,0.1,33,14.5,480,1,1,
75,Tyler Lockett,32,SEA,WR,9,8,53,34,456,13.4,2,28,60.4,37.0,3.8,50.7,64.2,8.6,0,0,0,0,,,,0.0,0.0,34,13.4,456,2,0,
76,Cade Otton,25,TAM,TE,10,10,70,49,456,9.3,4,25,52.9,29.0,4.9,45.6,70.0,6.5,1,-4,0,0,0.0,-4.0,-4.0,-0.4,0.1,50,9.0,452,4,2,
77,Jameson Williams,23,DET,WR,7,5,35,20,414,20.7,3,14,45.7,70.0,2.9,59.1,57.1,11.8,4,32,0,3,75.0,15.0,8.0,4.6,0.6,24,18.6,446,3,0,
78,Jakobi Meyers,28,LVR,WR,7,7,54,39,430,11.0,2,25,59.3,33.0,5.6,61.4,72.2,8.0,1,3,0,0,0.0,3.0,3.0,0.4,0.1,40,10.8,433,2,0,
79,Zack Moss,27,CIN,RB,8,6,27,23,187,8.1,1,11,63.0,21.0,2.9,23.4,85.2,6.9,74,242,2,13,36.5,16.0,3.3,30.3,9.3,97,4.4,429,3,2,
80,Rome Odunze,22,CHI,WR,9,7,50,28,414,14.8,1,20,52.0,47.0,3.1,46.0,56.0,8.3,3,15,0,1,66.7,8.0,5.0,1.7,0.3,31,13.8,429,1,1,
81,Zach Ertz,34,WAS,TE,11,11,61,43,428,10.0,2,24,59.0,24.0,3.9,38.9,70.5,7.0,0,0,0,0,,,,0.0,0.0,43,10.0,428,2,1,
82,Hunter Henry,30,NWE,TE,10,10,57,40,428,10.7,1,25,52.6,35.0,4.0,42.8,70.2,7.5,0,0,0,0,,,,0.0,0.0,40,10.7,428,1,0,
83,Tank Dell,25,HOU,WR,9,6,56,35,394,11.3,2,20,48.2,50.0,3.9,43.8,62.5,7.0,7,24,0,2,28.6,18.0,3.4,2.7,0.8,42,10.0,418,2,0,
84,Jerry Jeudy,25,CLE,WR,9,8,61,33,418,12.7,1,22,47.5,35.0,3.7,46.4,54.1,6.9,0,0,0,0,,,,0.0,0.0,33,12.7,418,1,0,
85,Keon Coleman,21,BUF,WR,9,8,36,22,417,19.0,3,16,52.8,57.0,2.4,46.3,61.1,11.6,0,0,0,0,,,,0.0,0.0,22,19.0,417,3,0,
86,Ray Davis,25,BUF,RB,10,0,11,10,149,14.9,1,4,63.6,63.0,1.0,14.9,90.9,13.5,64,268,2,14,46.9,22.0,4.2,26.8,6.4,74,5.6,417,3,0,
87,Jalen Hurts,26,PHI,QB,10,10,0,0,0,,0,0,,,0.0,0.0,,,103,417,11,44,59.2,24.0,4.0,41.7,10.3,103,4.0,417,11,6,
88,D.J. Moore,27,CHI,WR,9,9,66,40,398,10.0,3,17,40.9,44.0,4.4,44.2,60.6,6.0,5,18,0,1,40.0,14.0,3.6,2.0,0.6,45,9.2,416,3,0,
89,Devin Singletary,27,NYG,RB,8,4,16,14,92,6.6,0,3,50.0,23.0,1.8,11.5,87.5,5.8,78,323,2,17,46.2,43.0,4.1,40.4,9.8,92,4.5,415,2,2,
90,Davante Adams,32,2TM,WR,7,7,66,38,415,10.9,2,19,42.4,37.0,5.4,59.3,57.6,6.3,0,0,0,0,,,,0.0,0.0,38,10.9,415,2,0,
90,Davante Adams,32,LVR,WR,3,3,27,18,209,11.6,1,10,51.9,30.0,6.0,69.7,66.7,7.7,0,0,0,0,,,,0.0,0.0,18,11.6,209,1,0,
90,Davante Adams,32,NYJ,WR,4,4,39,20,206,10.3,1,9,35.9,37.0,5.0,51.5,51.3,5.3,0,0,0,0,,,,0.0,0.0,20,10.3,206,1,0,
91,Romeo Doubs,24,GNB,WR,8,7,45,30,412,13.7,2,21,64.4,39.0,3.8,51.5,66.7,9.2,0,0,0,0,,,,0.0,0.0,30,13.7,412,2,0,
92,Allen Lazard,29,NYJ,WR,7,7,44,30,412,13.7,5,23,63.6,52.0,4.3,58.9,68.2,9.4,0,0,0,0,,,,0.0,0.0,30,13.7,412,5,0,
93,Wan'Dale Robinson,23,NYG,WR,10,4,84,56,394,7.0,2,21,38.1,23.0,5.6,39.4,66.7,4.7,2,18,0,1,50.0,14.0,9.0,1.8,0.2,58,7.1,412,2,0,
94,Chris Olave,24,NOR,WR,8,8,44,32,400,12.5,1,22,65.9,39.0,4.0,50.0,72.7,9.1,1,7,0,1,100.0,7.0,7.0,0.9,0.1,33,12.3,407,1,1,
95,Zach Charbonnet,23,SEA,RB,9,2,31,25,189,7.6,1,4,38.7,30.0,2.8,21.0,80.6,6.1,61,213,4,13,41.0,13.0,3.5,23.7,6.8,86,4.7,402,5,0,
96,Travis Etienne,25,JAX,RB,8,8,27,19,96,5.1,0,6,29.6,14.0,2.4,12.0,70.4,3.6,70,298,2,17,50.0,22.0,4.3,37.3,8.8,89,4.4,394,2,1,
97,Antonio Gibson,26,NWE,RB,10,2,15,13,131,10.1,0,6,53.3,50.0,1.3,13.1,86.7,8.7,62,262,0,11,38.7,45.0,4.2,26.2,6.2,75,5.2,393,0,1,
