Rk,Player,Tm,FantPos,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
1,Lamar Jackson,BAL,QB,,259,258.6,270.6,260.6,107.0,1,1.0,JackLa00
2,Derrick Henry,BAL,RB,,206,215.6,218.6,210.6,102.0,1,2.0,HenrDe00
3,Saquon Barkley,PHI,RB,,197,219.7,226.7,208.2,93.0,2,3.0,BarkSa00
4,Ja'Marr Chase,CIN,WR,,159,225.2,228.2,192.2,86.0,1,4.0,ChasJa00
5,Jalen Hurts,PHI,QB,,226,225.6,240.6,230.6,76.0,2,5.0,HurtJa00
6,Baker Mayfield,TAM,QB,1.0,211,211.4,226.4,220.4,63.0,3,6.0,MayfBa00
7,Joe Burrow,CIN,QB,,211,211.2,222.2,215.2,62.0,4,7.0,BurrJo01
8,Jayden Daniels,WAS,QB,2.0,204,203.7,212.7,206.7,55.0,5,8.0,DaniJa02
9,Alvin Kamara,NOR,RB,,156,206.6,212.6,181.1,54.0,3,9.0,KamaAl00
10,Josh Allen,BUF,QB,1.0,199,199.3,211.3,203.3,51.0,6,10.0,AlleJo02
11,Bijan Robinson,ATL,RB,,150,190.9,196.9,170.4,49.0,4,11.0,RobiBi01
12,George Kittle,SFO,TE,,98,141.0,144.0,119.5,46.0,1,12.0,KittGe00
13,Justin Jefferson,MIN,WR,,114,167.3,170.3,140.8,44.0,2,13.0,JeffJu00
14,Jahmyr Gibbs,DET,RB,,141,162.9,168.9,151.9,41.0,5,14.0,GibbJa01
15,Terry McLaurin,WAS,WR,,106,154.3,158.3,130.3,37.0,3,15.0,McLaTe00
16,Kyren Williams,LAR,RB,,136,161.0,169.0,148.5,36.0,6,16.0,WillKy02
17,Kyler Murray,ARI,QB,,179,179.4,191.4,182.4,32.0,7,17.0,MurrKy00
18,Chuba Hubbard,CAR,RB,,132,162.2,170.2,147.2,32.0,7,18.0,HubbCh01
19,Drake London,ATL,WR,,101,158.9,161.9,129.9,31.0,4,19.0,LondDr00
20,Garrett Wilson,NYJ,WR,,101,165.9,169.9,133.4,31.0,5,20.0,WilsGa00
21,James Cook,BUF,RB,,129,149.1,155.1,139.1,30.0,9,21.0,CookJa01
22,Joe Mixon,HOU,RB,,129,145.4,151.4,137.4,30.0,8,22.0,MixoJo00
23,Amon-Ra St. Brown,DET,WR,,99,152.7,155.7,125.7,29.0,6,23.0,StxxAm00
24,Darnell Mooney,ATL,WR,,98,144.4,147.4,121.4,29.0,7,24.0,MoonDa00
25,CeeDee Lamb,DAL,WR,,98,156.6,160.6,127.1,28.0,8,25.0,LambCe00
26,Jayden Reed,GNB,WR,,97,133.0,139.0,115.0,28.0,9,26.0,ReedJa03
27,James Conner,ARI,RB,,126,150.4,157.4,138.4,27.0,10,27.0,ConnJa00
28,Brian Thomas,JAX,WR,,96,133.2,136.2,114.7,27.0,10,28.0,ThomBr06
29,Zay Flowers,BAL,WR,,92,141.5,144.5,116.5,23.0,11,29.0,FlowZa00
30,Brock Purdy,SFO,QB,,169,168.9,183.9,175.9,22.0,8,30.0,PurdBr00
31,David Montgomery,DET,RB,,121,138.6,145.6,129.6,22.0,11,31.0,MontDa01
32,Brock Bowers,LVR,TE,,71,128.2,131.2,99.7,21.0,2,32.0,BoweBr01
33,Bo Nix,DEN,QB,,166,166.9,178.9,172.4,20.0,9,33.0,NixxBo00
34,Chris Godwin,TAM,WR,,88,137.8,140.8,112.8,19.0,12,34.0,GodwCh00
35,Tucker Kraft,GNB,TE,,68,96.0,100.0,82.0,18.0,3,35.0,KrafTu00
36,Trey McBride,ARI,TE,,67,116.4,119.4,91.9,18.0,4,36.0,McBrTr01
37,Cade Otton,TAM,TE,,67,116.2,120.2,91.7,17.0,5,37.0,OttoCa00
38,Kyle Pitts,ATL,TE,,67,100.5,103.5,83.5,17.0,6,38.0,PittKy00
39,J.K. Dobbins,LAC,RB,,114,138.2,144.2,126.2,16.0,12,39.0,DobbJK00
40,Mark Andrews,BAL,TE,,66,95.7,98.7,80.7,16.0,7,40.0,AndrMa00
41,Breece Hall,NYJ,RB,,113,152.2,159.2,132.7,15.0,13,41.0,HallBr03
42,Marvin Harrison Jr.,ARI,WR,,84,116.9,120.9,100.4,15.0,13,42.0,HarrMa09
43,Josh Jacobs,GNB,RB,,111,130.0,137.0,120.5,13.0,14,43.0,JacoJo01
44,A.J. Brown,PHI,WR,,80,112.8,115.8,96.3,12.0,14,44.0,BrowAJ00
45,Chase Brown,CIN,RB,,109,139.1,146.1,124.1,11.0,15,45.0,BrowCh10
46,Travis Kelce,KAN,TE,,60,120.0,124.0,90.0,11.0,8,46.0,KelcTr00
47,Malik Nabers,NYG,WR,,79,139.5,142.5,109.0,10.0,15,47.0,NabeMa00
48,Courtland Sutton,DEN,WR,,78,120.1,124.1,99.1,10.0,16,48.0,SuttCo00
49,De'Von Achane,MIA,RB,,107,149.4,155.4,128.4,9.0,16,49.0,AchaDe00
50,Aaron Jones,MIN,RB,,107,135.1,142.1,121.1,9.0,17,50.0,JoneAa00
51,Zach Ertz,WAS,TE,,59,101.8,104.8,80.3,9.0,9,51.0,ErtzZa00
52,Kirk Cousins,ATL,QB,,153,153.1,166.1,161.1,8.0,10,52.0,CousKi00
53,DeVonta Smith,PHI,WR,,76,116.6,119.6,96.1,8.0,19,53.0,SmitDe07
54,Alec Pierce,IND,WR,,76,98.6,101.6,87.1,8.0,18,54.0,PierAl00
55,Jaxon Smith-Njigba,SEA,WR,,76,126.2,129.2,101.2,8.0,17,55.0,SmitJa06
56,D'Andre Swift,CHI,RB,,105,131.4,137.4,118.4,7.0,18,56.0,SwifDA00
57,Stefon Diggs,HOU,WR,,75,121.9,124.9,98.4,7.0,20,57.0,DiggSt00
58,Nico Collins,HOU,WR,,75,106.7,109.7,90.7,7.0,21,58.0,CollNi00
59,Geno Smith,SEA,QB,,152,151.7,167.7,161.7,6.0,11,59.0,SmitGe00
60,Rashod Bateman,BAL,WR,,74,105.1,108.1,89.6,6.0,22,60.0,BateRa00
61,Calvin Ridley,TEN,WR,,74,105.5,109.5,89.5,6.0,23,61.0,RidlCa00
62,Kenneth Walker III,SEA,RB,,104,133.5,139.5,118.5,5.0,19,62.0,WalkKe00
63,Brian Robinson Jr.,WAS,RB,,103,113.2,116.2,108.2,5.0,20,63.0,RobiBr01
64,George Pickens,PIT,WR,,73,113.3,117.3,93.3,5.0,24,64.0,PickGe00
65,Ladd McConkey,LAC,WR,,73,110.2,113.2,91.7,5.0,25,65.0,McCoLa00
66,Sam LaPorta,DET,TE,,55,79.6,82.6,67.1,5.0,10,66.0,LaPoSa01
67,Jonathan Taylor,IND,RB,,102,114.4,120.4,108.4,4.0,21,67.0,TaylJo02
68,Rhamondre Stevenson,NWE,RB,,101,125.4,133.4,113.4,3.0,22,68.0,StevRh00
69,Allen Lazard,NYJ,WR,,71,101.2,104.2,86.2,3.0,26,69.0,LazaAl00
70,D.K. Metcalf,SEA,WR,,71,105.8,110.8,88.3,3.0,27,70.0,MetcDK00
71,Cole Kmet,CHI,TE,,52,80.6,83.6,66.1,3.0,11,71.0,KmetCo00
72,Tony Pollard,TEN,RB,,100,128.0,134.0,114.0,2.0,23,72.0,PollTo00
73,Mike Evans,TAM,WR,,70,95.5,98.5,82.5,2.0,28,73.0,EvanMi00
74,Trevor Lawrence,JAX,QB,3.0,145,145.0,158.0,151.0,,12,74.0,LawrTr00
75,Sam Darnold,MIN,QB,,142,142.4,161.4,152.4,,13,75.0,DarnSa00
76,Patrick Mahomes,KAN,QB,,141,142.2,157.2,150.7,,14,76.0,MahoPa00
77,Aaron Rodgers,NYJ,QB,1.0,141,140.6,151.6,147.6,,15,77.0,RodgAa00
78,C.J. Stroud,HOU,QB,,140,139.6,154.6,145.6,,16,78.0,StroCJ00
79,Jared Goff,DET,QB,,138,138.7,150.7,147.2,,17,,GoffJa00
80,Daniel Jones,NYG,QB,,135,135.3,150.3,142.3,,18,,JoneDa05
