Rk_x,Player,Tm,FantPos,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999,Rk_y,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
184,Hunter Henry,NWE,TE,,63,103.9,106.9,83.4,,22,,HenrHu00,137.0,28.0,NWE,TE,17.0,14.0,59.0,41.0,509.0,12.4,2.0,23.0,50.8,39.0,2.4,29.9,69.5,8.6,0.0,0.0,0.0,0.0,,,,0.0,0.0,41.0,12.4,509.0,2.0,0.0,
186,Robert Woods,TEN,WR,,63,115.7,119.7,89.2,,73,,WoodRo02,131.0,30.0,TEN,WR,17.0,15.0,91.0,53.0,527.0,9.9,2.0,31.0,50.5,41.0,3.1,31.0,58.2,5.8,0.0,0.0,0.0,0.0,,,,0.0,0.0,53.0,9.9,527.0,2.0,1.0,
187,Melvin Gordon,DEN,RB,,62,87.1,95.1,74.6,,55,,GordMe00,126.0,29.0,DEN,RB,10.0,6.0,32.0,25.0,223.0,8.9,0.0,11.0,46.9,24.0,2.5,22.3,78.1,7.0,90.0,318.0,2.0,15.0,50.0,17.0,3.5,31.8,9.0,115.0,4.7,541.0,2.0,5.0,
188,Darnell Mooney,CHI,WR,,62,101.5,104.5,81.5,,74,,MoonDa00,142.0,25.0,CHI,WR,12.0,12.0,61.0,40.0,493.0,12.3,2.0,20.0,45.9,56.0,3.3,41.1,65.6,8.1,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.2,0.1,41.0,12.1,495.0,2.0,0.0,
189,Treylon Burks,TEN,WR,,61,94.1,97.1,77.6,,75,,BurkTr00,144.0,22.0,TEN,WR,11.0,6.0,54.0,33.0,444.0,13.5,1.0,19.0,50.0,51.0,3.0,40.4,61.1,8.2,4.0,47.0,0.0,3.0,100.0,20.0,11.8,4.3,0.4,37.0,13.3,491.0,1.0,0.0,
190,Greg Dortch,ARI,WR,,61,113.1,117.1,87.1,,76,,DortGr01,135.0,24.0,ARI,WR,16.0,4.0,64.0,52.0,467.0,9.0,2.0,19.0,46.9,47.0,3.3,29.2,81.3,7.3,7.0,44.0,0.0,3.0,71.4,20.0,6.3,2.8,0.4,59.0,8.7,511.0,2.0,1.0,
191,Nico Collins,HOU,WR,,60,97.1,100.1,78.6,,77,,CollNi00,148.0,23.0,HOU,WR,10.0,7.0,66.0,37.0,481.0,13.0,2.0,21.0,42.4,58.0,3.7,48.1,56.1,7.3,0.0,0.0,0.0,0.0,,,,0.0,0.0,37.0,13.0,481.0,2.0,0.0,
192,Romeo Doubs,GNB,WR,,60,101.6,105.6,80.6,,78,,DoubRo00,161.0,22.0,GNB,WR,13.0,7.0,67.0,42.0,425.0,10.1,3.0,20.0,46.3,26.0,3.2,32.7,62.7,6.3,1.0,11.0,0.0,1.0,100.0,11.0,11.0,0.8,0.1,43.0,10.1,436.0,3.0,2.0,
194,Gus Edwards,BAL,RB,,59,59.3,63.3,59.3,,56,,EdwaGu00,162.0,27.0,BAL,RB,9.0,4.0,2.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,87.0,433.0,3.0,30.0,59.8,37.0,5.0,48.1,9.7,87.0,5.0,433.0,3.0,1.0,
195,Robert Tonyan,GNB,TE,,59,112.0,115.0,85.5,,23,,TonyRo00,153.0,28.0,GNB,TE,17.0,3.0,67.0,53.0,470.0,8.9,2.0,20.0,53.7,24.0,3.1,27.6,79.1,7.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,53.0,8.9,470.0,2.0,0.0,
197,Nick Westbrook-Ikhine,TEN,WR,,58,82.7,85.7,70.2,,80,,WestNi00,177.0,25.0,TEN,WR,17.0,13.0,50.0,25.0,397.0,15.9,3.0,18.0,40.0,63.0,1.5,23.4,50.0,7.9,0.0,0.0,0.0,0.0,,,,0.0,0.0,25.0,15.9,397.0,3.0,0.0,
198,Darrell Henderson,LAR,RB,,57,73.5,79.5,65.0,,58,,HendDa00,184.0,25.0,LAR,RB,10.0,7.0,22.0,17.0,102.0,6.0,0.0,5.0,50.0,15.0,1.7,10.2,77.3,4.6,70.0,283.0,3.0,14.0,42.9,23.0,4.0,28.3,7.0,87.0,4.4,385.0,3.0,0.0,
200,Darren Waller,LVR,TE,,57,84.8,87.8,70.8,,24,,WallDa01,183.0,30.0,LVR,TE,9.0,6.0,43.0,28.0,388.0,13.9,3.0,18.0,46.5,34.0,3.1,43.1,65.1,9.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,28.0,13.9,388.0,3.0,0.0,
202,Dontrell Hilliard,TEN,RB,,56,77.2,83.2,66.7,,59,,HillDo00,208.0,27.0,TEN,RB,12.0,1.0,26.0,21.0,177.0,8.4,4.0,8.0,38.5,31.0,1.8,14.8,80.8,6.8,22.0,145.0,0.0,4.0,45.5,30.0,6.6,12.1,1.8,43.0,7.5,322.0,4.0,0.0,
203,Austin Hooper,TEN,TE,,56,97.4,100.4,76.9,,25,,HoopAu00,159.0,28.0,TEN,TE,17.0,2.0,60.0,41.0,444.0,10.8,2.0,28.0,60.0,24.0,2.4,26.1,68.3,7.4,0.0,0.0,0.0,0.0,,,,0.0,0.0,41.0,10.8,444.0,2.0,0.0,
204,Demarcus Robinson,BAL,WR,,56,103.8,107.8,79.8,,81,,RobiDe01,154.0,28.0,BAL,WR,17.0,5.0,75.0,48.0,458.0,9.5,2.0,23.0,46.7,31.0,2.8,26.9,64.0,6.1,0.0,0.0,0.0,0.0,,,,0.0,0.0,48.0,9.5,458.0,2.0,2.0,
205,Deon Jackson,IND,RB,,55,84.5,91.5,69.5,,60,,JackDe02,158.0,23.0,IND,RB,16.0,2.0,34.0,30.0,209.0,7.0,1.0,10.0,47.1,27.0,1.9,13.1,88.2,6.1,68.0,236.0,1.0,13.0,38.2,17.0,3.5,14.8,4.3,98.0,4.5,445.0,2.0,1.0,
206,Van Jefferson,LAR,WR,,55,78.9,81.9,66.9,,83,,JeffVa00,189.0,26.0,LAR,WR,11.0,9.0,44.0,24.0,369.0,15.4,3.0,20.0,50.0,39.0,2.2,33.5,54.5,8.4,0.0,0.0,0.0,0.0,,,,0.0,0.0,24.0,15.4,369.0,3.0,0.0,
207,Isaiah Likely,BAL,TE,,55,91.3,94.3,73.3,,26,,LikeIs00,187.0,22.0,BAL,TE,16.0,2.0,60.0,36.0,373.0,10.4,3.0,18.0,35.0,34.0,2.3,23.3,60.0,6.2,0.0,0.0,0.0,0.0,,,,0.0,0.0,36.0,10.4,373.0,3.0,0.0,
208,Terrace Marshall Jr.,CAR,WR,,55,83.0,86.0,69.0,,82,,MarsTe00,146.0,22.0,CAR,WR,14.0,9.0,47.0,28.0,490.0,17.5,1.0,24.0,53.2,43.0,2.0,35.0,59.6,10.4,0.0,0.0,0.0,0.0,,,,0.0,0.0,28.0,17.5,490.0,1.0,2.0,
