Rk_x,Player,Tm,FantPos,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999,Rk_y,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
137,Parris Campbell,IND,WR,,86,149.1,152.1,117.6,,50,,CampPa00,103.0,25.0,IND,WR,17.0,16.0,91.0,63.0,623.0,9.9,3.0,32.0,54.9,49.0,3.7,36.6,69.2,6.8,5.0,58.0,0.0,2.0,40.0,28.0,11.6,3.4,0.3,68.0,10.0,681.0,3.0,1.0,
139,Dalton Schultz,DAL,TE,,86,142.7,146.7,114.2,,11,,SchuDa00,115.0,26.0,DAL,TE,15.0,15.0,89.0,57.0,577.0,10.1,5.0,27.0,55.1,30.0,3.8,38.5,64.0,6.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,57.0,10.1,577.0,5.0,1.0,
141,Michael Carter,NYJ,RB,,85,126.0,133.0,105.5,,44,,CartMi03,100.0,23.0,NYJ,RB,16.0,10.0,54.0,41.0,288.0,7.0,0.0,12.0,46.3,37.0,2.6,18.0,75.9,5.3,114.0,402.0,3.0,14.0,42.1,25.0,3.5,25.1,7.1,155.0,4.5,690.0,3.0,2.0,
142,James Cook,BUF,RB,,85,105.7,112.7,95.2,,45,,CookJa01,101.0,23.0,BUF,RB,16.0,0.0,32.0,21.0,180.0,8.6,1.0,5.0,46.9,41.0,1.3,11.3,65.6,5.6,89.0,507.0,2.0,25.0,50.6,33.0,5.7,31.7,5.6,110.0,6.2,687.0,3.0,1.0,
143,Pat Freiermuth,PIT,TE,,85,148.2,151.2,116.7,,12,,FreiPa00,90.0,24.0,PIT,TE,16.0,8.0,98.0,63.0,732.0,11.6,2.0,37.0,53.1,57.0,3.9,45.8,64.3,7.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,63.0,11.6,732.0,2.0,0.0,
144,David Njoku,CLE,TE,,84,142.0,146.0,113.0,,13,,NjokDa00,112.0,26.0,CLE,TE,14.0,14.0,80.0,58.0,628.0,10.8,4.0,36.0,61.3,38.0,4.1,44.9,72.5,7.9,2.0,-8.0,0.0,0.0,0.0,-2.0,-4.0,-0.6,0.1,60.0,10.3,620.0,4.0,1.0,
145,Gerald Everett,LAC,TE,,82,139.5,142.5,110.5,,14,,EverGe00,122.0,28.0,LAC,TE,16.0,11.0,87.0,58.0,555.0,9.6,4.0,29.0,48.3,26.0,3.6,34.7,66.7,6.4,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.1,59.0,9.4,555.0,4.0,0.0,
146,Darius Slayton,NYG,WR,,82,128.4,132.4,105.4,,51,,SlayDa01,92.0,25.0,NYG,WR,16.0,11.0,71.0,46.0,724.0,15.7,2.0,30.0,57.7,55.0,2.9,45.3,64.8,10.2,0.0,0.0,0.0,0.0,,,,0.0,0.0,46.0,15.7,724.0,2.0,2.0,
147,Clyde Edwards-Helaire,KAN,RB,,81,98.3,104.3,89.8,,46,,EdwaCl00,155.0,23.0,KAN,RB,10.0,6.0,23.0,17.0,151.0,8.9,3.0,11.0,60.9,25.0,1.7,15.1,73.9,6.6,71.0,302.0,3.0,15.0,49.3,52.0,4.3,30.2,7.1,88.0,5.1,453.0,6.0,0.0,
148,Jordan Akins,HOU,TE,,80,116.5,120.5,98.0,,16,,AkinJo00,141.0,30.0,HOU,TE,15.0,3.0,54.0,37.0,495.0,13.4,5.0,23.0,53.7,46.0,2.5,33.0,68.5,9.2,0.0,0.0,0.0,0.0,,,,0.0,0.0,37.0,13.4,495.0,5.0,1.0,
149,Tyler Higbee,LAR,TE,,80,152.0,155.0,116.0,,15,,HigbTy00,111.0,29.0,LAR,TE,17.0,17.0,108.0,72.0,620.0,8.6,3.0,32.0,51.9,26.0,4.2,36.5,66.7,5.7,0.0,0.0,0.0,0.0,,,,0.0,0.0,72.0,8.6,620.0,3.0,0.0,
150,Marquez Valdes-Scantling,KAN,WR,,80,122.4,125.4,101.4,,52,,ValdMa00,102.0,28.0,KAN,WR,17.0,11.0,81.0,42.0,687.0,16.4,2.0,32.0,48.1,57.0,2.5,40.4,51.9,8.5,1.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,-0.2,0.1,43.0,15.9,684.0,2.0,0.0,
151,Devin Duvernay,BAL,WR,,79,116.1,119.1,97.6,,53,,DuveDe00,145.0,25.0,BAL,WR,14.0,13.0,49.0,37.0,407.0,11.0,3.0,19.0,59.2,31.0,2.6,29.1,75.5,8.3,12.0,84.0,1.0,7.0,66.7,18.0,7.0,6.0,0.9,49.0,10.0,491.0,4.0,1.0,PB
152,Isaiah McKenzie,BUF,WR,,78,119.8,122.8,98.8,,54,,McKeIs00,150.0,27.0,BUF,WR,15.0,8.0,65.0,42.0,423.0,10.1,4.0,27.0,58.5,30.0,2.8,28.2,64.6,6.5,9.0,55.0,1.0,3.0,66.7,18.0,6.1,3.7,0.6,51.0,9.4,478.0,5.0,0.0,
154,Richie James,NYG,WR,,76,132.5,138.5,104.0,,55,,JameRi00,116.0,27.0,NYG,WR,17.0,4.0,70.0,57.0,569.0,10.0,4.0,29.0,61.4,33.0,3.4,33.5,81.4,8.1,2.0,6.0,0.0,0.0,50.0,4.0,3.0,0.4,0.1,59.0,9.7,575.0,4.0,3.0,
155,Tyler Conklin,NYJ,TE,,74,131.5,134.5,102.5,,17,,ConkTy00,121.0,27.0,NYJ,TE,17.0,16.0,87.0,58.0,552.0,9.5,3.0,25.0,44.8,30.0,3.4,32.5,66.7,6.3,2.0,3.0,0.0,2.0,100.0,2.0,1.5,0.2,0.1,60.0,9.3,555.0,3.0,2.0,
156,J.K. Dobbins,BAL,RB,,74,81.2,84.2,77.7,,48,,DobbJK00,118.0,24.0,BAL,RB,8.0,8.0,8.0,7.0,42.0,6.0,1.0,3.0,62.5,20.0,0.9,5.3,87.5,5.3,92.0,520.0,2.0,26.0,57.6,44.0,5.7,65.0,11.5,99.0,5.7,562.0,3.0,0.0,
157,Damien Harris,NWE,RB,,74,90.9,93.9,82.4,,49,,HarrDa06,119.0,25.0,NWE,RB,11.0,9.0,23.0,17.0,97.0,5.7,0.0,4.0,43.5,15.0,1.5,8.8,73.9,4.2,106.0,462.0,3.0,23.0,50.0,30.0,4.4,42.0,9.6,123.0,4.5,559.0,3.0,0.0,
158,Chuba Hubbard,CAR,RB,,74,87.7,94.7,80.7,,50,,HubbCh01,110.0,23.0,CAR,RB,15.0,2.0,17.0,14.0,171.0,12.2,0.0,5.0,47.1,45.0,0.9,11.4,82.4,10.1,95.0,466.0,2.0,23.0,45.3,35.0,4.9,31.1,6.3,109.0,5.8,637.0,2.0,2.0,
