Rk,Player,Tm,FantPos,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
1,Patrick Mahomes*+,KAN,QB,2.0,416,417.4,435.4,428.9,136.0,1,1.0,MahoPa00
2,Josh Jacobs*+,LVR,RB,,275,328.3,335.3,301.8,127.0,1,2.0,JacoJo01
3,Christian McCaffrey*,2TM,RB,,271,356.4,362.4,313.9,123.0,2,3.0,McCaCh01
4,Derrick Henry*,TEN,RB,,270,302.8,311.8,286.3,122.0,3,4.0,HenrDe00
5,Justin Jefferson*+,MIN,WR,,241,368.7,371.7,304.7,119.0,1,5.0,JeffJu00
6,Austin Ekeler,LAC,RB,,266,372.7,381.7,319.2,118.0,4,6.0,EkelAu00
7,Josh Allen*,BUF,QB,1.0,396,395.5,420.5,409.5,117.0,2,7.0,AlleJo02
8,Davante Adams*+,LVR,WR,,236,335.5,338.5,285.5,114.0,2,8.0,AdamDa01
9,Travis Kelce*+,KAN,TE,,206,316.3,320.3,261.3,114.0,1,9.0,KelcTr00
10,Nick Chubb*,CLE,RB,,254,281.4,288.4,267.9,107.0,5,10.0,ChubNi00
11,Tyreek Hill*+,MIA,WR,,228,347.2,350.2,287.7,107.0,3,11.0,HillTy00
12,Jalen Hurts*,PHI,QB,,378,378.0,392.0,384.0,100.0,3,12.0,HurtJa00
13,A.J. Brown*,PHI,WR,,212,299.6,304.6,255.6,91.0,4,13.0,BrowAJ00
14,Stefon Diggs*,BUF,WR,,209,316.6,319.6,262.6,89.0,5,14.0,DiggSt00
15,Saquon Barkley*,NYG,RB,,227,284.0,290.0,255.5,82.0,6,15.0,BarkSa00
16,CeeDee Lamb*,DAL,WR,,195,301.6,304.6,248.1,75.0,6,16.0,LambCe00
17,Joe Burrow*,CIN,QB,3.0,351,350.7,371.7,362.7,74.0,4,17.0,BurrJo01
18,Jamaal Williams,DET,RB,,214,225.9,230.9,219.9,69.0,7,18.0,WillJa06
19,Jaylen Waddle,MIA,WR,,184,259.2,263.2,221.7,66.0,7,19.0,WaddJa00
20,Tony Pollard*,DAL,RB,,210,248.8,254.8,229.3,65.0,8,20.0,PollTo00
21,Dalvin Cook*,MIN,RB,,199,237.8,247.8,218.3,55.0,9,21.0,CookDa01
22,Miles Sanders*,PHI,RB,,197,216.7,221.7,206.7,53.0,10,22.0,SandMi01
23,George Kittle*,SFO,TE,,141,200.5,204.5,170.5,52.0,2,23.0,KittGe00
24,Amari Cooper,CLE,WR,,168,246.0,250.0,208.0,50.0,8,24.0,CoopAm00
25,Taysom Hill,NOR,TE,,137,145.8,148.8,141.3,49.0,3,25.0,HillTa00
26,Aaron Jones,GNB,RB,,190,248.6,257.6,219.1,46.0,11,26.0,JoneAa00
27,Amon-Ra St. Brown*,DET,WR,,162,267.6,270.6,214.6,44.0,9,27.0,StxxAm00
28,DeVonta Smith,PHI,WR,,160,254.6,258.6,207.1,42.0,10,28.0,SmitDe07
29,T.J. Hockenson*,2TM,TE,,129,215.4,219.4,172.4,42.0,4,29.0,HockTJ00
30,Christian Kirk,JAX,WR,,158,241.9,245.9,199.9,41.0,11,30.0,KirkCh01
31,Najee Harris,PIT,RB,,182,223.5,231.5,203.0,40.0,12,31.0,HarrNa00
32,Ja'Marr Chase*,CIN,WR,,155,242.4,247.4,198.9,38.0,12,32.0,ChasJa00
33,Rhamondre Stevenson,NWE,RB,,180,249.1,256.1,214.6,37.0,13,33.0,StevRh00
34,Joe Mixon,CIN,RB,,180,239.5,245.5,209.5,37.0,14,34.0,MixoJo00
35,Tyler Lockett,SEA,WR,,153,237.3,242.3,195.3,37.0,13,35.0,LockTy00
36,Terry McLaurin*,WAS,WR,,152,229.0,232.0,190.5,35.0,14,36.0,McLaTe00
