Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
2.0,CeeDee Lamb,24.0,DAL,WR,17.0,17.0,181.0,135.0,1749.0,13.0,12.0,80.0,63.5,92.0,7.9,102.9,74.6,9.7,14.0,113.0,2.0,6.0,85.7,24.0,8.1,6.6,0.8,149.0,12.5,1862.0,14.0,3.0,PBAP-1AP OPoY-3
3.0,Tyreek Hill,29.0,MIA,WR,16.0,16.0,171.0,119.0,1799.0,15.1,13.0,83.0,57.9,78.0,7.4,112.4,69.6,10.5,6.0,15.0,0.0,2.0,33.3,14.0,2.5,0.9,0.4,125.0,14.5,1814.0,13.0,1.0,PBAP-1AP MVP-6AP OPoY-2
4.0,Breece Hall,22.0,NYJ,RB,17.0,16.0,95.0,76.0,591.0,7.8,4.0,28.0,40.0,50.0,4.5,34.8,80.0,6.2,223.0,994.0,5.0,40.0,39.5,83.0,4.5,58.5,13.1,299.0,5.3,1585.0,9.0,2.0,AP CPoY-7
5.0,Puka Nacua,22.0,LAR,WR,17.0,17.0,160.0,105.0,1486.0,14.2,6.0,68.0,56.9,80.0,6.2,87.4,65.6,9.3,12.0,89.0,0.0,5.0,58.3,31.0,7.4,5.2,0.7,117.0,13.5,1575.0,6.0,1.0,PBAP-2AP ORoY-2
6.0,James Cook,24.0,BUF,RB,17.0,13.0,54.0,44.0,445.0,10.1,4.0,16.0,59.3,48.0,2.6,26.2,81.5,8.2,237.0,1122.0,2.0,53.0,55.7,42.0,4.7,66.0,13.9,281.0,5.6,1567.0,6.0,4.0,PB
7.0,Amon-Ra St. Brown,24.0,DET,WR,16.0,16.0,164.0,119.0,1515.0,12.7,10.0,75.0,61.6,70.0,7.4,94.7,72.6,9.2,4.0,24.0,0.0,2.0,75.0,11.0,6.0,1.5,0.3,123.0,12.5,1539.0,10.0,1.0,PBAP-1
8.0,Rachaad White,24.0,TAM,RB,17.0,17.0,70.0,64.0,549.0,8.6,3.0,23.0,54.3,43.0,3.8,32.3,91.4,7.8,272.0,990.0,6.0,46.0,40.8,38.0,3.6,58.2,16.0,336.0,4.6,1539.0,9.0,3.0,
9.0,Travis Etienne,24.0,JAX,RB,17.0,17.0,73.0,58.0,476.0,8.2,1.0,23.0,49.3,56.0,3.4,28.0,79.5,6.5,267.0,1008.0,11.0,53.0,43.1,62.0,3.8,59.3,15.7,325.0,4.6,1484.0,12.0,0.0,AP OPoY-8
10.0,Bijan Robinson,21.0,ATL,RB,17.0,16.0,86.0,58.0,487.0,8.4,4.0,24.0,45.3,71.0,3.4,28.6,67.4,5.7,214.0,976.0,4.0,50.0,43.5,38.0,4.6,57.4,12.6,272.0,5.4,1463.0,8.0,4.0,AP ORoY-5
11.0,A.J. Brown,26.0,PHI,WR,17.0,17.0,158.0,106.0,1456.0,13.7,7.0,70.0,56.3,59.0,6.2,85.6,67.1,9.2,0.0,0.0,0.0,0.0,,,,0.0,0.0,106.0,13.7,1456.0,7.0,2.0,PBAP-2
12.0,Joe Mixon,27.0,CIN,RB,17.0,17.0,64.0,52.0,376.0,7.2,3.0,14.0,54.7,45.0,3.1,22.1,81.3,5.9,257.0,1034.0,9.0,59.0,49.4,44.0,4.0,60.8,15.1,309.0,4.6,1410.0,12.0,0.0,
13.0,D.J. Moore,26.0,CHI,WR,17.0,17.0,136.0,96.0,1364.0,14.2,8.0,64.0,59.6,58.0,5.6,80.2,70.6,10.0,4.0,21.0,1.0,1.0,50.0,16.0,5.3,1.2,0.2,100.0,13.9,1385.0,9.0,1.0,
14.0,Derrick Henry,29.0,TEN,RB,17.0,17.0,36.0,28.0,214.0,7.6,0.0,7.0,44.4,46.0,1.6,12.6,77.8,5.9,280.0,1167.0,12.0,63.0,46.1,69.0,4.2,68.6,16.5,308.0,4.5,1381.0,12.0,0.0,PB
15.0,Kyren Williams,23.0,LAR,RB,12.0,11.0,48.0,32.0,206.0,6.4,3.0,9.0,43.8,24.0,2.7,17.2,66.7,4.3,228.0,1144.0,12.0,62.0,59.6,56.0,5.0,95.3,19.0,260.0,5.2,1350.0,15.0,3.0,PBAP-2
16.0,Brandon Aiyuk,25.0,SFO,WR,16.0,16.0,105.0,75.0,1342.0,17.9,7.0,61.0,70.5,76.0,4.7,83.9,71.4,12.8,0.0,0.0,0.0,0.0,,,,0.0,0.0,75.0,17.9,1342.0,7.0,1.0,AP-2
17.0,Tony Pollard,26.0,DAL,RB,17.0,17.0,67.0,55.0,311.0,5.7,0.0,12.0,43.3,60.0,3.2,18.3,82.1,4.6,252.0,1005.0,6.0,56.0,50.0,31.0,4.0,59.1,14.8,307.0,4.3,1316.0,6.0,3.0,
18.0,Nico Collins,24.0,HOU,WR,15.0,10.0,109.0,80.0,1297.0,16.2,8.0,53.0,61.5,75.0,5.3,86.5,73.4,11.9,1.0,7.0,0.0,0.0,100.0,7.0,7.0,0.5,0.1,81.0,16.1,1304.0,8.0,1.0,
19.0,D'Andre Swift,24.0,PHI,RB,16.0,15.0,49.0,39.0,214.0,5.5,1.0,8.0,42.9,20.0,2.4,13.4,79.6,4.4,229.0,1049.0,5.0,50.0,54.1,43.0,4.6,65.6,14.3,268.0,4.7,1263.0,6.0,3.0,PB
20.0,Jahmyr Gibbs,21.0,DET,RB,15.0,3.0,71.0,52.0,316.0,6.1,1.0,20.0,46.5,24.0,3.5,21.1,73.2,4.5,182.0,945.0,10.0,42.0,46.7,36.0,5.2,63.0,12.1,234.0,5.4,1261.0,11.0,2.0,PBAP ORoY-4
21.0,Mike Evans,30.0,TAM,WR,17.0,17.0,136.0,79.0,1255.0,15.9,13.0,54.0,53.7,75.0,4.6,73.8,58.1,9.2,0.0,0.0,0.0,0.0,,,,0.0,0.0,79.0,15.9,1255.0,13.0,0.0,PBAP-2
22.0,Amari Cooper,29.0,CLE,WR,15.0,15.0,128.0,72.0,1250.0,17.4,5.0,50.0,53.1,75.0,4.8,83.3,56.3,9.8,0.0,0.0,0.0,0.0,,,,0.0,0.0,72.0,17.4,1250.0,5.0,2.0,PB
23.0,Keenan Allen,31.0,LAC,WR,13.0,13.0,150.0,108.0,1243.0,11.5,7.0,57.0,58.7,42.0,8.3,95.6,72.0,8.3,2.0,6.0,0.0,1.0,100.0,4.0,3.0,0.5,0.2,110.0,11.4,1249.0,7.0,2.0,PB
24.0,Saquon Barkley,26.0,NYG,RB,14.0,14.0,60.0,41.0,280.0,6.8,4.0,16.0,43.3,46.0,2.9,20.0,68.3,4.7,247.0,962.0,6.0,51.0,40.1,36.0,3.9,68.7,17.6,288.0,4.3,1242.0,10.0,2.0,
25.0,Ja'Marr Chase,23.0,CIN,WR,16.0,16.0,145.0,100.0,1216.0,12.2,7.0,63.0,56.6,76.0,6.3,76.0,69.0,8.4,3.0,-6.0,0.0,0.0,0.0,2.0,-2.0,-0.4,0.2,103.0,11.7,1210.0,7.0,1.0,PB
26.0,James Conner,28.0,ARI,RB,13.0,13.0,33.0,27.0,165.0,6.1,2.0,11.0,39.4,34.0,2.1,12.7,81.8,5.0,208.0,1040.0,7.0,57.0,49.5,44.0,5.0,80.0,16.0,235.0,5.1,1205.0,9.0,0.0,
27.0,Najee Harris,25.0,PIT,RB,17.0,17.0,38.0,29.0,170.0,5.9,0.0,9.0,50.0,32.0,1.7,10.0,76.3,4.5,255.0,1035.0,8.0,51.0,48.2,25.0,4.1,60.9,15.0,284.0,4.2,1205.0,8.0,2.0,
28.0,Stefon Diggs,30.0,BUF,WR,17.0,17.0,160.0,107.0,1183.0,11.1,8.0,58.0,55.0,55.0,6.3,69.6,66.9,7.4,1.0,5.0,0.0,1.0,100.0,5.0,5.0,0.3,0.1,108.0,11.0,1188.0,8.0,2.0,PB
29.0,Raheem Mostert,31.0,MIA,RB,15.0,15.0,32.0,25.0,175.0,7.0,3.0,6.0,40.6,22.0,1.7,11.7,78.1,5.5,209.0,1012.0,18.0,59.0,55.0,49.0,4.8,67.5,13.9,234.0,5.1,1187.0,21.0,4.0,PB
30.0,Isiah Pacheco,24.0,KAN,RB,14.0,13.0,49.0,44.0,244.0,5.5,2.0,12.0,44.9,33.0,3.1,17.4,89.8,5.0,205.0,935.0,7.0,53.0,50.7,48.0,4.6,66.8,14.6,249.0,4.7,1179.0,9.0,1.0,
31.0,Kenneth Walker III,23.0,SEA,RB,15.0,15.0,37.0,29.0,259.0,8.9,1.0,9.0,43.2,64.0,1.9,17.3,78.4,7.0,219.0,905.0,8.0,46.0,46.6,45.0,4.1,60.3,14.6,248.0,4.7,1164.0,9.0,1.0,
32.0,Alvin Kamara,28.0,NOR,RB,13.0,12.0,86.0,75.0,466.0,6.2,1.0,23.0,45.3,25.0,5.8,35.8,87.2,5.4,180.0,694.0,5.0,42.0,48.3,17.0,3.9,53.4,13.8,255.0,4.5,1160.0,6.0,0.0,
33.0,George Pickens,22.0,PIT,WR,17.0,16.0,106.0,63.0,1140.0,18.1,5.0,42.0,50.9,86.0,3.7,67.1,59.4,10.8,3.0,18.0,0.0,2.0,66.7,16.0,6.0,1.1,0.2,66.0,17.5,1158.0,5.0,3.0,
34.0,Jaylen Warren,25.0,PIT,RB,17.0,0.0,74.0,61.0,370.0,6.1,0.0,19.0,44.6,30.0,3.6,21.8,82.4,5.0,149.0,784.0,4.0,36.0,49.7,74.0,5.3,46.1,8.8,210.0,5.5,1154.0,4.0,4.0,
35.0,Michael Pittman Jr.,26.0,IND,WR,16.0,15.0,156.0,109.0,1152.0,10.6,4.0,53.0,51.9,75.0,6.8,72.0,69.9,7.4,0.0,0.0,0.0,0.0,,,,0.0,0.0,109.0,10.6,1152.0,4.0,2.0,
36.0,Davante Adams,31.0,LVR,WR,17.0,17.0,175.0,103.0,1144.0,11.1,8.0,59.0,48.6,46.0,6.1,67.3,58.9,6.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,103.0,11.1,1144.0,8.0,0.0,
37.0,Chuba Hubbard,24.0,CAR,RB,17.0,12.0,44.0,39.0,233.0,6.0,0.0,9.0,36.4,25.0,2.3,13.7,88.6,5.3,238.0,902.0,5.0,59.0,47.5,22.0,3.8,53.1,14.0,277.0,4.1,1135.0,5.0,1.0,
38.0,Jerome Ford,24.0,CLE,RB,17.0,12.0,63.0,44.0,319.0,7.3,5.0,16.0,41.3,50.0,2.6,18.8,69.8,5.1,204.0,813.0,4.0,33.0,39.7,69.0,4.0,47.8,12.0,248.0,4.6,1132.0,9.0,1.0,
39.0,David Montgomery,26.0,DET,RB,14.0,14.0,24.0,16.0,117.0,7.3,0.0,7.0,54.2,19.0,1.1,8.4,66.7,4.9,219.0,1015.0,13.0,59.0,54.8,75.0,4.6,72.5,15.6,235.0,4.8,1132.0,13.0,2.0,
40.0,Chris Olave,23.0,NOR,WR,16.0,11.0,138.0,87.0,1123.0,12.9,5.0,57.0,53.6,51.0,5.4,70.2,63.0,8.1,0.0,0.0,0.0,0.0,,,,0.0,0.0,87.0,12.9,1123.0,5.0,0.0,
